Subject.id,Model.idx,Log-likelihood,Correct/Total,Subject.accuracy,Model.accuracy
0a228ea2-90e7-4a10-b62d-465cbaa94c42,0,-5.545177444479562,0.0,0.0,1.0
0a228ea2-90e7-4a10-b62d-465cbaa94c42,1,-5.545177444479562,0.0,0.0,0.5
0a228ea2-90e7-4a10-b62d-465cbaa94c42,2,-5.545177444479562,0.0,0.0,0.75
0a228ea2-90e7-4a10-b62d-465cbaa94c42,3,-7.202048410148295,,0.0,0.46875
fc83dcca-d19d-4bdd-802a-ce43304606e9,0,-5.2053793708887675,0.6666666666666666,0.6666666666666666,1.0
fc83dcca-d19d-4bdd-802a-ce43304606e9,1,-6.591673732008658,0.3333333333333333,0.6666666666666666,0.3333333333333333
fc83dcca-d19d-4bdd-802a-ce43304606e9,2,-5.2053793708887675,0.6666666666666666,0.6666666666666666,0.6666666666666666
fc83dcca-d19d-4bdd-802a-ce43304606e9,3,-9.36426245424844,,0.6666666666666666,0.2222222222222222
078dfd8b-a088-4749-b4cd-2b0f0f9870f9,0,-8.758241808063584,0.375,0.375,1.0
078dfd8b-a088-4749-b4cd-2b0f0f9870f9,1,-8.657564240310139,0.25,0.375,0.5
078dfd8b-a088-4749-b4cd-2b0f0f9870f9,2,-8.758241808063584,0.375,0.375,0.75
078dfd8b-a088-4749-b4cd-2b0f0f9870f9,3,-11.953401106314466,,0.375,0.25
47b4b758-854c-4038-9a4d-326ef2e4957c,0,-7.5529454551430835,0.42857142857142855,0.42857142857142855,1.0
47b4b758-854c-4038-9a4d-326ef2e4957c,1,-6.859798274583138,0.5714285714285714,0.42857142857142855,0.42857142857142855
47b4b758-854c-4038-9a4d-326ef2e4957c,2,-7.5529454551430835,0.42857142857142855,0.42857142857142855,0.7142857142857143
47b4b758-854c-4038-9a4d-326ef2e4957c,3,-10.848782321147413,,0.42857142857142855,0.22448979591836732
471df42d-8ebc-4932-bc76-5a21e7fc1488,0,-8.317766166719343,0.5,0.5,1.0
471df42d-8ebc-4932-bc76-5a21e7fc1488,1,-8.317766166719343,0.5,0.5,0.5
471df42d-8ebc-4932-bc76-5a21e7fc1488,2,-8.317766166719343,0.5,0.5,0.75
471df42d-8ebc-4932-bc76-5a21e7fc1488,3,-10.567106745194577,,0.5,0.28125
a12c5539-5e74-4a54-b450-8161d1b9187b,0,-7.371947446943693,0.625,0.625,1.0
a12c5539-5e74-4a54-b450-8161d1b9187b,1,-8.317766166719343,0.5,0.625,0.5
a12c5539-5e74-4a54-b450-8161d1b9187b,2,-7.371947446943693,0.625,0.625,0.75
a12c5539-5e74-4a54-b450-8161d1b9187b,3,-10.567106745194577,,0.625,0.28125
f9cf5e5a-710b-4775-aa50-52947e5bd4ed,0,-8.657564240310139,0.25,0.25,1.0
f9cf5e5a-710b-4775-aa50-52947e5bd4ed,1,-8.657564240310139,0.25,0.25,0.5
f9cf5e5a-710b-4775-aa50-52947e5bd4ed,2,-8.657564240310139,0.25,0.25,0.75
